threshold,tp,fp,fn,tn,precision,recall,f1,fpr
0.005,78,38,2,9918,0.672414,0.975,0.795918,0.00381679
0.01,78,29,2,9927,0.728972,0.975,0.834225,0.00291282
0.015,78,27,2,9929,0.742857,0.975,0.843243,0.00271193
0.02,78,25,2,9931,0.757282,0.975,0.852459,0.00251105
0.025,78,23,2,9933,0.772277,0.975,0.861878,0.00231016
0.03,78,22,2,9934,0.78,0.975,0.866667,0.00220972
0.035,78,21,2,9935,0.787879,0.975,0.871508,0.00210928
0.04,78,21,2,9935,0.787879,0.975,0.871508,0.00210928
0.045,78,21,2,9935,0.787879,0.975,0.871508,0.00210928
0.05,78,20,2,9936,0.795918,0.975,0.876404,0.00200884
0.055,78,19,2,9937,0.804124,0.975,0.881356,0.0019084
0.06,78,19,2,9937,0.804124,0.975,0.881356,0.0019084
0.065,78,18,2,9938,0.8125,0.975,0.886364,0.00180796
0.07,77,18,3,9938,0.810526,0.9625,0.88,0.00180796
0.075,77,18,3,9938,0.810526,0.9625,0.88,0.00180796
0.08,77,18,3,9938,0.810526,0.9625,0.88,0.00180796
0.085,77,18,3,9938,0.810526,0.9625,0.88,0.00180796
0.09,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.095,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.1,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.105,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.11,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.115,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.12,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.125,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.13,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.135,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.14,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.145,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.15,77,17,3,9939,0.819149,0.9625,0.885057,0.00170751
0.155,77,16,3,9940,0.827957,0.9625,0.890173,0.00160707
0.16,77,16,3,9940,0.827957,0.9625,0.890173,0.00160707
0.165,77,16,3,9940,0.827957,0.9625,0.890173,0.00160707
0.17,77,15,3,9941,0.836957,0.9625,0.895349,0.00150663
0.175,77,15,3,9941,0.836957,0.9625,0.895349,0.00150663
0.18,77,15,3,9941,0.836957,0.9625,0.895349,0.00150663
0.185,77,15,3,9941,0.836957,0.9625,0.895349,0.00150663
0.19,77,15,3,9941,0.836957,0.9625,0.895349,0.00150663
0.195,77,14,3,9942,0.846154,0.9625,0.900585,0.00140619
0.2,77,14,3,9942,0.846154,0.9625,0.900585,0.00140619
0.205,77,14,3,9942,0.846154,0.9625,0.900585,0.00140619
0.21,77,14,3,9942,0.846154,0.9625,0.900585,0.00140619
0.215,77,14,3,9942,0.846154,0.9625,0.900585,0.00140619
0.22,77,14,3,9942,0.846154,0.9625,0.900585,0.00140619
0.225,77,13,3,9943,0.855556,0.9625,0.905882,0.00130575
0.23,77,13,3,9943,0.855556,0.9625,0.905882,0.00130575
0.235,77,13,3,9943,0.855556,0.9625,0.905882,0.00130575
0.24,77,13,3,9943,0.855556,0.9625,0.905882,0.00130575
0.245,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.25,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.255,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.26,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.265,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.27,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.275,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.28,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.285,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.29,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.295,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.3,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.305,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
0.31,77,12,3,9944,0.865169,0.9625,0.911243,0.0012053
