movement_type,category,transaction_id,customer_id,vl_pix,nr_idade,qt_tempo_relacionamento_mes,first_receiver_flag,pix_key_random_flag,lgbm_raw,lgbm_mapped,if_percentile,se_score,beh_score,score_final,decisao,veto_reason,veto_suppressed_reason,value_bin,relationship_bin,age_bin,if_bin,lgbm_bin,score_bin,flags,comparison_key,config_id,seed
FN_RECUPERADO,LGBM_LOW_VALUE_FIRST_RECEIVER,E0000020820260103172401005155525,73008311172,142.0,40.0,216.0,1,0,0.08921375,60.56,0.477062,0.0,0.0,64.85,CONFIRMAR,,,VL_100_499,REL_10Y_PLUS,AGE_30_44,IF_LT_800,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FN_RECUPERADO,LGBM_LOW_VALUE_FIRST_RECEIVER,E0000020820260123162214303665525,44434707191,50.0,58.0,456.0,1,0,0.16079323,62.66,0.761867,0.0,0.0,68.38,CONFIRMAR,,,VL_000_099,REL_10Y_PLUS,AGE_45_59,IF_LT_800,LGBM_100_200,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FN_RECUPERADO,LGBM_LOW_VALUE_FIRST_RECEIVER,E0000020820260227174607667379525,87568039153,498.96,45.0,317.0,1,1,0.08477212,60.43,0.763758,0.0,0.0,66.15,CONFIRMAR,,,VL_100_499,REL_10Y_PLUS,AGE_45_59,IF_LT_800,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER|PIX_RANDOM,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FN_RECUPERADO,LGBM_GRAY_FIRST_RECEIVER,E0000020820260316231246610306525,34407499168,300.0,60.0,243.0,1,0,0.18433831,63.35,0.957011,0.0,0.0,70.5,CONFIRMAR,,,VL_100_499,REL_10Y_PLUS,AGE_60_69,IF_950_985,LGBM_100_200,SCORE_CONFIRMAR,FIRST_RECEIVER|IDADE_60_PLUS|IF_ALTO,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820251220151111979112525,24891800100,2600.0,63.0,513.0,1,0,0.06701487,58.51,0.972236,0.0,0.0,62.79,CONFIRMAR,,,VL_1K_5K,REL_10Y_PLUS,AGE_60_69,IF_950_985,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER|IDADE_60_PLUS|IF_ALTO,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820251220183509720296525,6154411000118,642.0,22.0,31.0,1,0,0.07211945,60.06,0.774306,0.0,0.0,65.78,CONFIRMAR,,,VL_500_999,REL_1_3Y,AGE_18_29,IF_LT_800,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820251222115029673543525,53854640153,405.0,55.0,443.0,1,0,0.11566797,61.34,0.964176,0.0,0.0,67.77,CONFIRMAR,,,VL_100_499,REL_10Y_PLUS,AGE_45_59,IF_950_985,LGBM_100_200,SCORE_CONFIRMAR,FIRST_RECEIVER|IF_ALTO,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820251226214737233154525,65778359187,880.0,55.0,212.0,1,0,0.11883191,61.43,0.807643,0.0,0.0,67.15,CONFIRMAR,,,VL_500_999,REL_10Y_PLUS,AGE_45_59,IF_800_950,LGBM_100_200,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820251230204707988723542,6099656707,600.0,34.0,57.0,1,0,0.09499618,60.73,0.400438,0.0,0.0,62.16,CONFIRMAR,,,VL_500_999,REL_3_10Y,AGE_30_44,IF_LT_800,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820260102160255580107525,37215728153,1328.1,59.0,409.0,1,0,0.07147362,60.04,0.925366,0.0,0.0,63.61,CONFIRMAR,,,VL_1K_5K,REL_10Y_PLUS,AGE_45_59,IF_800_950,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
